"","dataSetName","functionName","nTrainningPoints","compTime","seed","trainAndTestRatio","maxit","learnRate","momentum","networkSize","train.Accuracy","train.Kappa","train.AccuracyLower","train.AccuracyUpper","train.AccuracyNull","train.AccuracyPValue","train.McnemarPValue","train.Sensitivity","train.Specificity","train.Pos.Pred.Value","train.Neg.Pred.Value","train.Precision","train.Recall","train.F1","train.Prevalence","train.Detection.Rate","train.Detection.Prevalence","train.Balanced.Accuracy","train.AUC","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","test.Sensitivity","test.Specificity","test.Pos.Pred.Value","test.Neg.Pred.Value","test.Precision","test.Recall","test.F1","test.Prevalence","test.Detection.Rate","test.Detection.Prevalence","test.Balanced.Accuracy","test.AUC"
"11","0 vs ALL","briSelectionPlusPlusLog","9564","7.10637354850769","1","0.3","25","0.05","0.01","10","0.987243831033041","0.974487662066081","0.984788005689671","0.98939582677968","0.5","0","0.0853998772869303","0.989335006273526","0.985152655792555","0.98521449396085","0.989290214195716","0.98521449396085","0.989335006273526","0.987270450751252","0.5","0.494667503136763","0.502091175240485","0.987243831033041","0.999181940292268","0.983142857142857","0.912380358349483","0.981309450335066","0.984840697797549","0.899","0","3.93858365118737e-51","0.98310291858679","0.983498349834984","0.998117773595052","0.867359667359667","0.998117773595052","0.98310291858679","0.990553450392272","0.899","0.883809523809524","0.885476190476191","0.983300634210887","0.997494802941056"
"12","0 vs ALL","briSelectionPlusPlusLogNeg","9564","7.07039904594421","1","0.3","25","0.05","0.01","10","0.986825595984944","0.973651191969887","0.984333937177506","0.989013825358677","0.5","0","0.0161569312611813","0.989753241321623","0.983897950648264","0.983991683991684","0.989692890197728","0.983991683991684","0.989753241321623","0.986864053377815","0.5","0.494876620660811","0.502927645336679","0.986825595984944","0.998860086470227","0.985380952380952","0.923056024237102","0.983664931100171","0.986960606217027","0.899","0","3.68201941138241e-36","0.986016208485619","0.97972654408298","0.997695358559331","0.887275832621691","0.997695358559331","0.986016208485619","0.991821402882489","0.899","0.886428571428571","0.888476190476191","0.982871376284299","0.997328878650731"
"13","4 vs ALL","baseLine","49000","33.8875350952148","1","0.3","25","0.05","0.01","10","0.991448979591837","0.951100557327414","0.99059372579795","0.992245220303364","0.902979591836735","0","0.328537499813436","0.995502418297699","0.953723180479596","0.995030157905437","0.957954785548278","0.995030157905437","0.995502418297699","0.995266232078904","0.902979591836735","0.898918367346939","0.903408163265306","0.974612799388648","0.998110346880563","0.989238095238095","0.939179577870901","0.987748953145482","0.990589365935688","0.901428571428571","0","0.206279850252409","0.994558901215003","0.940579710144928","0.993509234828496","0.949756097560976","0.993509234828496","0.994558901215003","0.99403379091869","0.901428571428571","0.89652380952381","0.902380952380952","0.967569305679965","0.997402277906653"
"14","4 vs ALL","briSelection","9508","7.24177145957947","1","0.3","25","0.05","0.01","10","0.969814892721918","0.939629785443837","0.966176024609029","0.973162021367419","0.5","0","0.555002050013441","0.970971813209929","0.968657972233908","0.968730325288562","0.97090449082859","0.968730325288562","0.970971813209929","0.969849774135939","0.5","0.485485906604964","0.50115692048801","0.969814892721918","0.99502666222311","0.811333333333333","0.416977160909594","0.805974982653225","0.816605360204862","0.901428571428571","1","0","0.794558901215003","0.964734299516908","0.995170041021569","0.339279646619096","0.995170041021569","0.794558901215003","0.883621196099166","0.901428571428571","0.716238095238095","0.719714285714286","0.879646600365955","0.94715992813595"
"15","4 vs ALL","briSelectionPlusPlus","9508","7.3537266254425","1","0.3","25","0.05","0.01","10","0.979596129575095","0.959192259150189","0.976550439815694","0.982342786187625","0.5","0","0.172529643358683","0.977492637778713","0.981699621371477","0.981622306717364","0.977586929199832","0.981622306717364","0.977492637778713","0.979553119730185","0.5","0.488746318889356","0.497896508203618","0.979596129575095","0.996873389970388","0.954904761904762","0.785276769142565","0.952010684313451","0.957672049385989","0.901428571428571","1.22219709096199e-182","1.33182242442592e-165","0.952667723190703","0.97536231884058","0.997179983411667","0.6926243567753","0.997179983411667","0.952667723190703","0.974415777387546","0.901428571428571","0.858761904761905","0.861190476190476","0.964015021015641","0.993297733066905"
"16","4 vs ALL","briSelectionPlusPlusNeg","9508","7.57433557510376","1","0.3","25","0.05","0.01","10","0.970445940260833","0.940891880521666","0.966841851077939","0.973757839414845","0.5","0","0.00192179048903301","0.964871687000421","0.976020193521245","0.975749840459477","0.965258997295611","0.975749840459477","0.964871687000421","0.970280274986779","0.5","0.48243584350021","0.494425746739588","0.970445940260833","0.993696006763739","0.961","0.809443087201476","0.958293211926337","0.963578197301372","0.901428571428571","1.91671918173498e-233","1.27096113090325e-133","0.959746434231379","0.972463768115942","0.996872427983539","0.725405405405405","0.996872427983539","0.959746434231379","0.977957206297941","0.901428571428571","0.865142857142857","0.867857142857143","0.96610510117366","0.993309127704153"
"17","4 vs ALL","briSelectionPlusPlusLog","9508","7.19135499000549","1","0.3","25","0.05","0.01","10","0.97549432057215","0.9509886411443","0.972184427118763","0.978508333782969","0.5","0","0.793283886579463","0.976020193521245","0.974968447623054","0.974994746795545","0.975994946304485","0.974994746795545","0.976020193521245","0.975507200672764","0.5","0.488010096760623","0.500525872949095","0.97549432057215","0.995844431162545","0.964047619047619","0.821601328082753","0.961440748078572","0.966524988254381","0.901428571428571","3.70830537300361e-262","1.87804500004196e-113","0.963602746962493","0.968115942028986","0.99639482165292","0.744151503898997","0.99639482165292","0.963602746962493","0.979724467599431","0.901428571428571","0.868619047619048","0.871761904761905","0.96585934449574","0.994011614108424"
"18","4 vs ALL","briSelectionPlusPlusLogNeg","9508","6.81422734260559","1","0.3","25","0.05","0.01","10","0.971287336979386","0.942574673958771","0.967730260099623","0.974551619826511","0.5","0","0.0396118703603151","0.974968447623054","0.967606226335717","0.967842973480894","0.974782792964611","0.967842973480894","0.974968447623054","0.971392643822697","0.5","0.487484223811527","0.503681110643668","0.971287336979386","0.995046263545487","0.971714285714286","0.854538890381516","0.969381840464357","0.973914891390415","0.901428571428571","0","6.83761290947179e-72","0.972741679873217","0.96231884057971","0.995781959766386","0.794258373205742","0.995781959766386","0.972741679873217","0.984126984126984","0.901428571428571","0.876857142857143","0.880571428571429","0.967530260226464","0.994207236934447"
"19","1 vs ALL","baseLine","49000","35.0082778930664","1","0.3","25","0.05","0.01","10","0.995102040816327","0.97562817063822","0.9944434164368","0.995700909023425","0.886040816326531","0","8.23235897324979e-05","0.997950064492353","0.972958452722063","0.996526979161875","0.983882651213328","0.996526979161875","0.997950064492353","0.997238014132161","0.886040816326531","0.884224489795918","0.88730612244898","0.985454258607208","0.999174520814953","0.994761904761905","0.972949668607678","0.993690075942341","0.995693013769508","0.890809523809524","0","0.0283099761629664","0.997701395199658","0.970780636720454","0.996423042015909","0.981048920229175","0.996423042015909","0.997701395199658","0.997061808857311","0.890809523809524","0.888761904761905","0.891952380952381","0.984241015960056","0.999539761498916"
"20","1 vs ALL","briSelection","11168","8.3823299407959","1","0.3","25","0.05","0.01","10","0.977704154727794","0.955408309455587","0.974793311973455","0.98036210408352","0.5","0","0.0112480392537994","0.974032951289398","0.981375358166189","0.98123759696915","0.974222222222222","0.98123759696915","0.974032951289398","0.977622000539229","0.5","0.487016475644699","0.496328796561605","0.977704154727794","0.997089322439881","0.990761904761905","0.953421118252164","0.989373913023314","0.992011360445047","0.890809523809524","0","4.12554354708824e-13","0.992088523012776","0.979938944614043","0.997527546358506","0.938204592901879","0.997527546358506","0.992088523012776","0.994800600343053","0.890809523809524","0.883761904761905","0.885952380952381","0.986013733813409","0.998801939174896"
