"","dataSetName","functionName","seed","trainAndTestRatio","maxit","learnRate","momentum","networkSize","train.Accuracy","train.Kappa","train.AccuracyLower","train.AccuracyUpper","train.AccuracyNull","train.AccuracyPValue","train.McnemarPValue","train.Sensitivity","train.Specificity","train.Pos.Pred.Value","train.Neg.Pred.Value","train.Precision","train.Recall","train.F1","train.Prevalence","train.Detection.Rate","train.Detection.Prevalence","train.Balanced.Accuracy","train.AUC","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","test.Sensitivity","test.Specificity","test.Pos.Pred.Value","test.Neg.Pred.Value","test.Precision","test.Recall","test.F1","test.Prevalence","test.Detection.Rate","test.Detection.Prevalence","test.Balanced.Accuracy","test.AUC"
"1","1","baseLine","1","0.3","100","0.05","0.01","10","0.998","0.98783471168178","0.997563173787975","0.998376014209197","0.909571428571429","0","0.613505266127911","0.998967892481321","0.988264500112841","0.998833426808749","0.989604519774012","0.998833426808749","0.998967892481321","0.998900655119806","0.909571428571429","0.908632653061225","0.90969387755102","0.993616196297081","0.999881434176455","0.991190476190476","0.946205062811162","0.989832454111972","0.992409764293696","0.910380952380952","0","0.303338502080335","0.994769327335495","0.954835281615303","0.99555043710412","0.947285187137586","0.99555043710412","0.994769327335495","0.995159728944821","0.910380952380952","0.905619047619048","0.909666666666667","0.974802304475399","0.997949226121701"
"2","1","briSelection","1","0.3","100","0.05","0.01","10","0.990521327014218","0.981042654028436","0.988278019036795","0.992432593925418","0.5","0","0.913116080072374","0.99029564432408","0.990747009704356","0.990742831338903","0.990300022558087","0.990742831338903","0.99029564432408","0.990519187358916","0.5","0.49514782216204","0.499774317309862","0.990521327014218","0.999567021315987","0.607285714285714","0.18613413587659","0.600642415052025","0.613899301223083","0.910380952380952","1","0","0.570614080970813","0.9798087141339","0.996528729332237","0.183427832487815","0.996528729332237","0.570614080970813","0.725694328953933","0.910380952380952","0.51947619047619","0.521285714285714","0.775211397552356","0.818352245837391"
"3","1","briSelectionPlusPlus","1","0.3","100","0.05","0.01","10","0.996050552922591","0.992101105845182","0.994511515383602","0.997247570021212","0.5","0","0.735316690637341","0.995712028887384","0.996389076957797","0.996386630532972","0.995714930085701","0.996386630532972","0.995712028887384","0.996049215487075","0.5","0.497856014443692","0.499661475964793","0.996050552922591","0.999871038462778","0.974952380952381","0.861672968147965","0.972748111445901","0.977023794937093","0.910380952380952","0","2.414508496794e-88","0.974265090490637","0.981934112646121","0.998177920685959","0.78974358974359","0.998177920685959","0.974265090490637","0.986076552490868","0.910380952380952","0.886952380952381","0.888571428571429","0.978099601568379","0.996617836493731"
"4","1","briSelectionPlusPlusNeg","1","0.3","100","0.05","0.01","10","0.992552471225457","0.985104942450914","0.990534533744273","0.994235535377779","0.5","0","0.175734335644225","0.991198375084631","0.993906567366283","0.993890020366599","0.991222147197839","0.993890020366599","0.991198375084631","0.992542372881356","0.5","0.495599187542316","0.498645903859174","0.992552471225457","0.999743299309796","0.970333333333333","0.838773957465309","0.967948669325309","0.97258658497823","0.910380952380952","1.24637025154409e-267","8.39533463790651e-101","0.969766711999163","0.976089266737513","0.997578692493947","0.760662525879917","0.997578692493947","0.969766711999163","0.983476115958942","0.910380952380952","0.882857142857143","0.885","0.972927989368338","0.996032971136581"
"5","1","briSelectionPlusPlusLog","1","0.3","100","0.05","0.01","10","0.993680884676145","0.987361769352291","0.991801851401813","0.995223181098624","0.5","0","0.141578863355244","0.995034980816971","0.992326788535319","0.992347512941706","0.995021498076488","0.992347512941706","0.995034980816971","0.993689429794906","0.5","0.497517490408486","0.501354096140826","0.993680884676145","0.999800802301709","0.976238095238095","0.867486306665443","0.97408720143326","0.9782557234912","0.910380952380952","0","5.86421514922842e-76","0.976148132649859","0.977151965993624","0.997701149425287","0.801307189542484","0.997701149425287","0.976148132649859","0.986806969304391","0.910380952380952","0.888666666666667","0.890714285714286","0.976650049321741","0.996609845960303"
"6","1","briSelectionPlusPlusLogNeg","1","0.3","100","0.05","0.01","10","0.99616339426766","0.992326788535319","0.994642816770581","0.997341619852042","0.5","0","0.122712594728169","0.997291807718348","0.995034980816971","0.9950461607746","0.997285681972404","0.9950461607746","0.997291807718348","0.996167718665464","0.5","0.498645903859174","0.501128413450688","0.99616339426766","0.999869153953743","0.977571428571429","0.874264214931996","0.975477557389343","0.979531604154811","0.910380952380952","0","1.74701029421023e-71","0.97750810754263","0.978214665249734","0.997810881520636","0.810656098634962","0.997810881520636","0.97750810754263","0.987555156287156","0.910380952380952","0.889904761904762","0.891857142857143","0.977861386396182","0.996831329650332"
"7","2","baseLine","1","0.3","100","0.05","0.01","10","0.998918367346939","0.993844732517388","0.998585433578017","0.999189681197534","0.902408163265306","0","0.00097844119167732","0.999683386856032","0.991844416562108","0.9991185046222","0.997056968677739","0.9991185046222","0.999683386856032","0.999400865918314","0.902408163265306","0.902122448979592","0.902918367346939","0.99576390170907","0.999982416686544","0.996","0.977843508701962","0.995050087310192","0.996808226461231","0.899","0","0.00321973269092177","0.99851687059696","0.973597359735974","0.997038134024435","0.986622073578595","0.997038134024435","0.99851687059696","0.997776954427566","0.899","0.897666666666667","0.900333333333333","0.986057115166467","0.999266926306714"
"8","2","briSelection","1","0.3","100","0.05","0.01","10","0.998013383521539","0.996026767043078","0.996899383138077","0.998803516554666","0.5","0","0.64635519553949","0.997699707235466","0.998327059807612","0.998326009625445","0.997701149425287","0.998326009625445","0.997699707235466","0.99801276017153","0.5","0.498849853617733","0.499686323713927","0.998013383521539","0.999965934221825","0.851095238095238","0.502715899541932","0.846208022319202","0.855885048308408","0.899","1","0","0.835054822819005","0.993870815652994","0.999176067942705","0.403676752202221","0.999176067942705","0.835054822819005","0.909772917448134","0.899","0.750714285714286","0.751333333333333","0.914462819236","0.985062218736913"
"9","2","briSelectionPlusPlus","1","0.3","100","0.05","0.01","10","0.996549560853199","0.993099121706399","0.995157682285221","0.997623722213393","0.5","0","0.296269871484286","0.997281472187369","0.99581764951903","0.995823762789727","0.997277486910995","0.995823762789727","0.997281472187369","0.996552084421691","0.5","0.498640736093685","0.50073191133417","0.9965495608532","0.999933880030037","0.987761904761905","0.935120473958822","0.986181608314141","0.98920492943592","0.899","0","1.70951106855225e-30","0.988293871497431","0.983026874115983","0.998074248421954","0.904163052905464","0.998074248421954","0.988293871497431","0.993159981901898","0.899","0.888476190476191","0.890190476190476","0.985660372806707","0.99818333630144"
"10","2","briSelectionPlusPlusNeg","1","0.3","100","0.05","0.01","10","0.996549560853199","0.993099121706399","0.995157682285221","0.997623722213393","0.5","0","0.486234321388297","0.996026767043078","0.997072354663321","0.997069290349592","0.996030917067056","0.997069290349592","0.996026767043078","0.996547756041427","0.5","0.498013383521539","0.499477206189879","0.9965495608532","0.999911621389356","0.985190476190476","0.922487575580845","0.983464113110138","0.986780541596357","0.899","0","6.43005058023893e-45","0.985168705969596","0.985384252710985","0.998336017176597","0.881856540084388","0.998336017176597","0.985168705969596","0.991708656589085","0.899","0.885666666666667","0.887142857142857","0.985276479340291","0.998383212137926"
