"","dataSetName","functionName","nTrainningPoints","compTime","seed","trainAndTestRatio","maxit","learnRate","momentum","networkSize","train.Accuracy","train.Kappa","train.AccuracyLower","train.AccuracyUpper","train.AccuracyNull","train.AccuracyPValue","train.McnemarPValue","train.Sensitivity","train.Specificity","train.Pos.Pred.Value","train.Neg.Pred.Value","train.Precision","train.Recall","train.F1","train.Prevalence","train.Detection.Rate","train.Detection.Prevalence","train.Balanced.Accuracy","train.AUC","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","test.Sensitivity","test.Specificity","test.Pos.Pred.Value","test.Neg.Pred.Value","test.Precision","test.Recall","test.F1","test.Prevalence","test.Detection.Rate","test.Detection.Prevalence","test.Balanced.Accuracy","test.AUC"
"1","5 vs ALL","baseLine","49000","35.1074542999268","1","0.3","25","0.05","0.01","10","0.991938775510204","0.949922556546761","0.991106965278894","0.992711485624957","0.909571428571429","0","4.27253325415347e-26","0.997935784962642","0.931618144888287","0.99323358642251","0.978199052132702","0.99323358642251","0.997935784962642","0.995579133510168","0.909571428571429","0.90769387755102","0.913877551020408","0.964776964925465","0.998179894346433","0.989571428571429","0.934888772921658","0.988103748753518","0.990901096133617","0.910380952380952","0","2.8123918617402e-07","0.996286222408202","0.921360255047821","0.992289658765303","0.960664819944599","0.992289658765304","0.996286222408202","0.994283924516483","0.910380952380952","0.907","0.914047619047619","0.958823238728012","0.996948533404988"
"2","5 vs ALL","briSelection","8862","6.10219192504883","1","0.3","25","0.05","0.01","10","0.981494019408711","0.962988038817423","0.978468040958416","0.984197247777682","0.5","0","0.00997002837597344","0.977657413676371","0.985330625141052","0.985217193541051","0.977827547592385","0.985217193541051","0.977657413676371","0.98142274580879","0.5","0.488828706838186","0.49616339426766","0.981494019408711","0.00165480266363638","0.601714285714286","0.182992186226652","0.595055655208543","0.608344747230748","0.910380952380952","1","0","0.564232660320117","0.982465462274176","0.996950092421442","0.181630648330059","0.996950092421442","0.564232660320117","0.720622620081502","0.910380952380952","0.513666666666667","0.515238095238095","0.773349061297147","0.181721697864118"
"3","5 vs ALL","briSelectionPlusPlus","8862","6.32735776901245","1","0.3","25","0.05","0.01","10","0.961408259986459","0.922816519972918","0.957186900655716","0.965322697745708","0.5","0","0.00415810111985067","0.967501692620176","0.955314827352742","0.955852842809365","0.967100753941056","0.955852842809365","0.967501692620176","0.96164199192463","0.5","0.483750846310088","0.506093432633717","0.961408259986459","0.992240152052375","0.951095238095238","0.749644148066907","0.94809143760575","0.95397336269025","0.910380952380952","1.18558828043635e-111","4.23300962801605e-145","0.951616277853332","0.945802337938363","0.994424706203881","0.658040665434381","0.994424706203881","0.951616277853332","0.972549648517895","0.910380952380952","0.866333333333333","0.871190476190476","0.948709307895848","0.984306745210877"
"4","5 vs ALL","briSelectionPlusPlusNeg","8862","6.09942936897278","1","0.3","25","0.05","0.01","10","0.965132024373731","0.930264048747461","0.961100162395726","0.968854209016936","0.5","0","0.00309464729450572","0.959151433085082","0.971112615662379","0.970762905436272","0.959634255129349","0.970762905436272","0.959151433085082","0.964922238619594","0.5","0.479575716542541","0.494019408711352","0.96513202437373","0.00615310026438643","0.950761904761905","0.752055267033988","0.947748744207027","0.95364948657761","0.910380952380952","1.09501640386927e-109","2.82500793378561e-174","0.949262475154305","0.965993623804463","0.996485833516363","0.652080344332855","0.996485833516363","0.949262475154305","0.972301098312349","0.910380952380952","0.864190476190476","0.867238095238095","0.957628049479384","0.010294419611565"
"5","5 vs ALL","briSelectionPlusPlusLog","8862","6.05973982810974","1","0.3","25","0.05","0.01","10","0.965921913789212","0.931843827578425","0.961931688672394","0.969601870581265","0.5","0","0.604533760836313","0.967050327239901","0.964793500338524","0.964872776401711","0.966975797330921","0.964872776401711","0.967050327239901","0.965960324616772","0.5","0.48352516361995","0.501128413450688","0.965921913789212","0.00587984645427842","0.960333333333333","0.791427775777598","0.957605282258003","0.962932991861285","0.910380952380952","2.48387960638737e-175","2.5849439361138e-126","0.960142274296474","0.962274176408077","0.996146958267759","0.703847648659152","0.996146958267759","0.960142274296474","0.977813290717805","0.910380952380952","0.874095238095238","0.877476190476191","0.961208225352276","0.00968084392039639"
"6","5 vs ALL","briSelectionPlusPlusLogNeg","8862","6.29858613014221","1","0.3","25","0.05","0.01","10","0.96422929361318","0.92845858722636","0.960150487359119","0.967999095012956","0.5","0","2.37582726187107e-07","0.953735048521778","0.974723538704581","0.974181650530198","0.954686118479222","0.974181650530198","0.953735048521778","0.963849925875242","0.5","0.476867524260889","0.489505754908598","0.96422929361318","0.00595102486986574","0.943571428571429","0.724679095424179","0.940364831114196","0.946654532047673","0.910380952380952","2.48029315265693e-72","2.47907049330749e-211","0.941050319071033","0.969181721572795","0.996786525569284","0.618095560826838","0.996786525569284","0.941050319071033","0.968116877875535","0.910380952380952","0.856714285714286","0.859476190476191","0.955116020321914","0.0102003536623992"
"7","5 vs ALL","baseLineRemove","8862","6.63802766799927","1","0.3","25","0.05","0.01","10","0.987248928007222","0.974497856014444","0.98468950944196","0.989480077769135","0.5","0","0.258954769658864","0.988715865493117","0.985781990521327","0.985823582358236","0.988682661837936","0.985823582358236","0.988715865493117","0.987267605633803","0.5","0.494357932746558","0.501466937485895","0.987248928007222","0.998906882894215","0.423666666666667","0.0894119681354128","0.416970563968439","0.430383908364754","0.910380952380952","1","0","0.369128569934094","0.977683315621679","0.994083673756867","0.132364578087907","0.994083673756867","0.369128569934094","0.538352977075943","0.910380952380952","0.336047619047619","0.338047619047619","0.673405942777886","0.838631886158328"
"8","0 vs ALL","baseLine","49000","34.2845914363861","1","0.3","25","0.05","0.01","10","0.995040816326531","0.971469338142989","0.994378369956239","0.995643521650881","0.902408163265306","0","2.68306632586827e-19","0.998846623546972","0.959849435382685","0.995671678802498","0.989010989010989","0.995671678802498","0.998846623546972","0.997256624180092","0.902408163265306","0.901367346938776","0.905285714285714","0.979348029464828","0.999291758510868","0.993666666666667","0.964538212875242","0.992498688963692","0.994694621083031","0.899","0","1.34736667100708e-11","0.998569839504211","0.95002357378595","0.994408692900095","0.986777668952008","0.994408692900095","0.998569839504211","0.996484922166134","0.899","0.897714285714286","0.902761904761905","0.974296706645081","0.998116219876057"
"9","0 vs ALL","briSelection","9564","6.47315049171448","1","0.3","25","0.05","0.01","10","0.994981179422836","0.989962358845671","0.9933512168102","0.996297268276877","0.5","0","0.112351197690464","0.993726474278545","0.996235884567127","0.99622641509434","0.993742177722153","0.99622641509434","0.993726474278545","0.994974874371859","0.5","0.496863237139272","0.498745294855709","0.994981179422836","0.000189876262948275","0.872238095238095","0.547604546683906","0.867647729251899","0.876725145462802","0.899","1","0","0.858678955453149","0.992927864214993","0.999075557746826","0.441139505655635","0.999075557746826","0.858678955453149","0.923572140720695","0.899","0.771952380952381","0.772666666666667","0.925803409834071","0.0111175143302621"
"10","0 vs ALL","briSelectionPlusPlus","9564","6.76741194725037","1","0.3","25","0.05","0.01","10","0.985989125888749","0.971978251777499","0.983427531026255","0.988248072110383","0.5","0","0.0307981427761758","0.98870765370138","0.983270598076119","0.983361064891847","0.988645920941968","0.983361064891847","0.98870765370138","0.986027111574557","0.5","0.49435382685069","0.502718527812631","0.985989125888749","0.998939937703793","0.983857142857143","0.915643187104904","0.982060258960782","0.985518208963041","0.899","0","5.98885896073078e-44","0.98421526563907","0.980669495520981","0.997798303082376","0.874684608915055","0.997798303082376","0.98421526563907","0.990960241060238","0.899","0.884809523809524","0.886761904761905","0.982442380580025","0.997439486519763"
